Exercise Name,Primary Muscle Group(s),Calories Burned per min / set (avg range),Category,Equipment Required,Description,Difficulty Level
Mobility/Stretch Flutter Kick,Mobility/Stretch,5-11 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the mobility/stretch. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Sprint,Triceps,12-15 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the triceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Jump Rope,Full Body,10-11 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the full body. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Rotation,Triceps,15-13 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the triceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back Face Pull,Back,4-19 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the back. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Medicine Ball Slam,Chest,11-16 kcal/min,Power,Kettlebell,"This is a power exercise that primarily targets the chest. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Elliptical,Mobility/Stretch,4-12 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the mobility/stretch. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Box Jump,Chest,13-11 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the chest. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Sit-Up,Core,8-11 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the core. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Ankle Mobility,Calves,7-12 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the calves. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Scapular Retraction,Quadriceps,12-19 kcal/min,Rehab,Dumbbell,"This is a rehab exercise that primarily targets the quadriceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Legs Dip,Legs,13-19 kcal/min,Strength,Barbell,"This is a strength exercise that primarily targets the legs. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Raise,Biceps,14-20 kcal/min,Strength,Dumbbell,"This is a strength exercise that primarily targets the biceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Face Pull,Shoulders,6-14 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the shoulders. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Squat,Legs,9-17 kcal/min,Strength,Medicine Ball,"This is a strength exercise that primarily targets the legs. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Extension,Back,11-15 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the back. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Split Jerk,Legs,11-11 kcal/min,Power,Kettlebell,"This is a power exercise that primarily targets the legs. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Yoga Flow,Biceps,10-12 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Sit-Up,Glutes,9-20 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the glutes. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Rowing,Calves,12-10 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the calves. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Bird Dog,Biceps,13-19 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the biceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Legs Crunch,Legs,14-19 kcal/min,Core,Machine,"This is a core exercise that primarily targets the legs. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs High Pull,Legs,8-20 kcal/min,Power,Machine,"This is a power exercise that primarily targets the legs. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Roll,Quadriceps,9-17 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the quadriceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Legs Windshield Wiper,Legs,9-11 kcal/min,Core,Cable,"This is a core exercise that primarily targets the legs. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back Roll,Back,5-14 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the back. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Band Walk,Quadriceps,4-13 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the quadriceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Cat-Cow,Mobility/Stretch,8-17 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the mobility/stretch. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Band Walk,Shoulders,7-16 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the shoulders. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Ankle Mobility,Back,4-13 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the back. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Stretch,Full Body,5-18 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the full body. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Roll,Full Body,14-20 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the full body. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Cat-Cow,Biceps,12-10 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the biceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
